sport,image,box_idx,x1,y1,x2,y2,w,h,area_px,cx_norm,cy_norm,conf
basketball,/content/drive/MyDrive/spotball_eval/basketball/1.png,0,77.38593292236328,1.8173828125,320.81597900390625,357.43402099609375,243.43004608154297,355.61663818359375,86567.77462039562,0.31109524369239805,0.4989602830674913,0.9367908835411072
basketball,/content/drive/MyDrive/spotball_eval/basketball/1.png,1,319.021484375,60.77191162109375,547.7432861328125,303.8961486816406,228.7218017578125,243.12423706054688,55607.81355148181,0.6771599769592285,0.5064834170871311,0.911311149597168
basketball,/content/drive/MyDrive/spotball_eval/basketball/1.png,2,0.09784698486328125,24.424285888671875,63.545745849609375,214.39266967773438,63.447898864746094,189.9683837890625,12053.094802147709,0.049721556901931765,0.33169021606445315,0.8826339840888977
basketball,/content/drive/MyDrive/spotball_eval/basketball/1.png,3,259.4291076660156,49.775718688964844,353.6997985839844,282.9035949707031,94.27069091796875,233.12787628173828,21977.125969318207,0.4790069580078125,0.4620546023050944,0.7644517421722412
basketball,/content/drive/MyDrive/spotball_eval/basketball/10.png,0,385.3431396484375,160.55938720703125,563.41552734375,357.98443603515625,178.0723876953125,197.425048828125,35155.949835687876,0.7412177085876465,0.7201997545030382,0.9290105104446411
basketball,/content/drive/MyDrive/spotball_eval/basketball/10.png,1,318.4681701660156,126.20989990234375,412.7993469238281,317.98345947265625,94.3311767578125,191.7735595703125,18090.225545302033,0.5713027477264404,0.6169352213541667,0.8484143614768982
basketball,/content/drive/MyDrive/spotball_eval/basketball/10.png,2,472.27899169921875,112.70114135742188,559.0177612304688,255.72299194335938,86.73876953125,143.0218505859375,12405.539335906506,0.8057005882263184,0.511700185139974,0.5766995549201965
basketball,/content/drive/MyDrive/spotball_eval/basketball/11.png,0,373.97052001953125,168.11172485351562,430.76885986328125,271.8480529785156,56.79833984375,103.736328125,5892.051218986511,0.6287026405334473,0.6110552469889323,0.9081004858016968
basketball,/content/drive/MyDrive/spotball_eval/basketball/11.png,1,411.37139892578125,160.80685424804688,439.94476318359375,245.88388061523438,28.5733642578125,85.0770263671875,2430.936864361167,0.6650907516479492,0.5648482428656684,0.8318853378295898
basketball,/content/drive/MyDrive/spotball_eval/basketball/11.png,2,110.023681640625,171.62310791015625,168.2218017578125,247.49246215820312,58.1981201171875,75.86935424804688,4415.453791741282,0.2173792839050293,0.5821049584282769,0.8266138434410095
