sport,image,n_person_kept,img_w,img_h,union_area_px,union_frac,sum_box_area_px,avg_box_area_px,mean_conf,median_conf
basketball,1,4,640,360,154304,0.6697222222222222,176562.0,44140.5,0.8737969398498535,0.8969725668430328
basketball,10,3,640,360,53086,0.2304079861111111,65747.0,21915.666666666668,0.7847081422805786,0.8484143614768982
basketball,11,5,640,360,20385,0.0884765625,23486.0,4697.2,0.8163352489471436,0.8266138434410095
basketball,12,3,640,360,60436,0.26230902777777776,105792.0,35264.0,0.7205280661582947,0.7572337985038757
basketball,13,2,640,360,32962,0.1430642361111111,44585.0,22292.5,0.4061756730079651,0.4061756730079651
basketball,15,3,640,360,77360,0.33576388888888886,104444.0,34814.666666666664,0.8974359035491943,0.9059434533119202
basketball,16,2,640,360,63646,0.27624131944444447,63646.0,31823.0,0.7261496484279633,0.7261496484279633
basketball,18,4,640,360,85936,0.37298611111111113,93882.0,23470.5,0.8079918771982193,0.8222094178199768
basketball,19,6,640,360,28721,0.12465711805555556,33060.0,5510.0,0.8102055986722311,0.8298844993114471
basketball,2,4,640,360,41094,0.178359375,54286.0,13571.5,0.6545293554663658,0.7140835821628571
basketball,22,6,640,360,63708,0.27651041666666665,79265.0,13210.833333333334,0.7005026688178381,0.7667949199676514
basketball,23,2,640,360,68929,0.29917100694444443,71687.0,35843.5,0.9030943214893341,0.9030943214893341
basketball,24,4,640,360,91069,0.39526475694444446,124116.0,31029.0,0.6970982700586319,0.7756257355213165
basketball,25,4,640,360,102653,0.4455425347222222,140107.0,35026.75,0.8140057921409607,0.7968126833438873
basketball,26,5,640,360,54838,0.2380121527777778,57841.0,11568.2,0.8660673379898072,0.8734343647956848
basketball,27,2,640,360,33520,0.14548611111111112,33520.0,16760.0,0.8711323738098145,0.8711323738098145
basketball,28,5,640,360,90170,0.3913628472222222,102736.0,20547.2,0.8954324722290039,0.8923794627189636
basketball,29,7,640,360,27404,0.11894097222222222,28304.0,4043.4285714285716,0.7786824447768075,0.8225460052490234
basketball,3,6,640,360,21677,0.09408420138888889,26264.0,4377.333333333333,0.638441855708758,0.6464346647262573
basketball,30,2,640,360,80103,0.3476692708333333,86223.0,43111.5,0.9292731881141663,0.9292731881141663
basketball,31,4,640,360,79819,0.34643663194444446,81083.0,20270.75,0.8780830204486847,0.8840879499912262
basketball,32,6,640,360,22138,0.09608506944444445,25981.0,4330.166666666667,0.7714743415514628,0.8198573589324951
basketball,33,2,640,360,123420,0.5356770833333333,123420.0,61710.0,0.9221499860286713,0.9221499860286713
basketball,35,5,640,360,37768,0.16392361111111112,63028.0,12605.6,0.7442360043525695,0.7927697896957397
basketball,36,5,640,360,68102,0.2955815972222222,74614.0,14922.8,0.7609625577926635,0.8910350203514099
basketball,37,5,640,360,60089,0.26080295138888887,72131.0,14426.2,0.8586908936500549,0.9050840735435486
basketball,40,6,640,360,24529,0.10646267361111111,27579.0,4596.5,0.7075793941815695,0.7505851089954376
basketball,42,4,640,360,41981,0.18220920138888888,42725.0,10681.25,0.8859705477952957,0.8931877017021179
basketball,44,4,640,360,34083,0.1479296875,36350.0,9087.5,0.7595914453268051,0.788013368844986
basketball,45,7,640,360,24216,0.10510416666666667,24436.0,3490.8571428571427,0.8633529629026141,0.8793221712112427
basketball,46,5,640,360,104780,0.45477430555555554,120968.0,24193.6,0.8756935477256775,0.888317346572876
basketball,47,6,640,360,117762,0.5111197916666667,122904.0,20484.0,0.8831331034501394,0.8901078701019287
basketball,48,4,640,360,63046,0.2736371527777778,82840.0,20710.0,0.8727870434522629,0.8778515160083771
basketball,50,4,640,360,66321,0.2878515625,78094.0,19523.5,0.7911541759967804,0.821428656578064
basketball,51,7,640,360,83598,0.3628385416666667,105348.0,15049.714285714286,0.6388514254774366,0.6382238864898682
basketball,53,4,640,360,144538,0.6273350694444444,159842.0,39960.5,0.9171782732009888,0.9154970645904541
basketball,54,6,640,360,32899,0.1427907986111111,37103.0,6183.833333333333,0.6585258543491364,0.7219632863998413
basketball,57,7,640,360,22787,0.09890190972222222,24870.0,3552.8571428571427,0.7290547149521964,0.8109559416770935
basketball,58,3,640,360,65504,0.28430555555555553,65504.0,21834.666666666668,0.8984198570251465,0.9152437448501587
basketball,60,3,640,360,12282,0.053307291666666666,12379.0,4126.333333333333,0.8562066356341044,0.8571495413780212
basketball,61,4,640,360,125710,0.5456163194444444,156011.0,39002.75,0.886579841375351,0.9257513880729675
basketball,63,3,640,360,19296,0.08375,20568.0,6856.0,0.7989778916041056,0.877821147441864
basketball,64,3,640,360,66118,0.2869704861111111,85536.0,28512.0,0.7966374556223551,0.8879762887954712
basketball,65,7,640,360,32684,0.1418576388888889,35028.0,5004.0,0.7711289865630013,0.765436053276062
basketball,67,3,640,360,59144,0.2567013888888889,59144.0,19714.666666666668,0.6397600571314493,0.6979566216468811
basketball,7,3,640,360,35243,0.15296440972222222,37963.0,12654.333333333334,0.8706752260526022,0.8666800260543823
basketball,80,3,640,360,70917,0.30779947916666667,89157.0,29719.0,0.9003493189811707,0.9220055341720581
basketball,81,2,640,360,61622,0.2674565972222222,87088.0,43544.0,0.7907333374023438,0.7907333374023438
basketball,82,2,640,360,43855,0.19034288194444443,43855.0,21927.5,0.9015978276729584,0.9015978276729584
basketball,83,6,640,360,66086,0.28683159722222223,73166.0,12194.333333333334,0.7919150590896606,0.8283560872077942
basketball,84,5,640,360,91624,0.3976736111111111,92794.0,18558.8,0.8791449785232544,0.8910274505615234
soccer,0,5,640,360,52391,0.22739149305555556,52391.0,10478.2,0.8724346041679383,0.9142652153968811
soccer,12,2,640,360,24571,0.10664496527777778,24571.0,12285.5,0.9105629622936249,0.9105629622936249
soccer,13,5,640,360,78293,0.33981336805555556,78799.0,15759.8,0.8751320838928223,0.8651424646377563
soccer,154,8,640,360,69493,0.3016189236111111,85403.0,10675.375,0.6868516579270363,0.7310512065887451
soccer,163,2,640,360,63057,0.27368489583333333,77556.0,38778.0,0.774309366941452,0.774309366941452
soccer,190,5,640,360,49200,0.21354166666666666,68821.0,13764.2,0.5967758417129516,0.7079063653945923
soccer,2,3,640,360,24280,0.10538194444444444,28346.0,9448.666666666666,0.6038876473903656,0.5935300588607788
soccer,21,6,640,360,71029,0.3082855902777778,108302.0,18050.333333333332,0.7970986217260361,0.8655687272548676
soccer,212,6,640,360,34254,0.148671875,34758.0,5793.0,0.7972016334533691,0.8167992532253265
soccer,217,7,640,360,83618,0.36292534722222225,94739.0,13534.142857142857,0.7825995598520551,0.887547492980957
soccer,222,9,640,360,62376,0.2707291666666667,63351.0,7039.0,0.7101773222287496,0.7981706857681274
soccer,223,8,640,360,56202,0.24393229166666666,65495.0,8186.875,0.7574183121323586,0.8500759899616241
soccer,224,8,640,360,33487,0.14534288194444445,39228.0,4903.5,0.7421245984733105,0.7666903734207153
soccer,226,4,640,360,77408,0.3359722222222222,92074.0,23018.5,0.8974533528089523,0.9039916694164276
soccer,230,5,640,360,56964,0.24723958333333335,61954.0,12390.8,0.8702159285545349,0.8666943311691284
soccer,24,4,640,360,64895,0.2816623263888889,77318.0,19329.5,0.890963226556778,0.8927954137325287
soccer,245,3,640,360,82737,0.3591015625,83101.0,27700.333333333332,0.9187209606170654,0.9259678721427917
soccer,250,7,640,360,48380,0.20998263888888888,56802.0,8114.571428571428,0.7278741300106049,0.8803123235702515
soccer,277,4,640,360,59428,0.2579340277777778,68086.0,17021.5,0.9158459603786469,0.9175601005554199
soccer,28,4,640,360,62905,0.2730251736111111,70420.0,17605.0,0.8419937342405319,0.8836049437522888
soccer,291,5,640,360,77824,0.3377777777777778,78522.0,15704.4,0.9090923309326172,0.9217870831489563
soccer,3,3,640,360,50472,0.2190625,60388.0,20129.333333333332,0.8869682947794596,0.8851363658905029
soccer,30,5,640,360,85065,0.36920572916666666,88289.0,17657.8,0.8721891522407532,0.9178006649017334
soccer,302,4,640,360,75051,0.3257421875,76533.0,19133.25,0.9024717956781387,0.9038884043693542
soccer,303,9,640,360,17466,0.07580729166666667,18037.0,2004.111111111111,0.6103531188435025,0.6359965801239014
soccer,309,3,640,360,66451,0.2884157986111111,79646.0,26548.666666666668,0.896674394607544,0.9021974205970764
soccer,31,4,640,360,67369,0.2924001736111111,92806.0,23201.5,0.8908172696828842,0.9029754996299744
soccer,312,8,640,360,53379,0.2316796875,59619.0,7452.375,0.7722676172852516,0.786705493927002
soccer,32,3,640,360,43954,0.19077256944444446,50542.0,16847.333333333332,0.7681167721748352,0.714572012424469
soccer,347,3,640,360,45642,0.19809895833333332,47637.0,15879.0,0.7481201489766439,0.8948493599891663
soccer,354,2,640,360,47345,0.20549045138888888,47345.0,23672.5,0.9198678135871887,0.9198678135871887
soccer,36,5,640,360,25453,0.11047309027777778,25711.0,5142.2,0.8920094013214112,0.8924500346183777
soccer,371,3,640,360,43001,0.1866362847222222,57791.0,19263.666666666668,0.8795455495516459,0.8952798247337341
soccer,389,7,640,360,12545,0.05444878472222222,12545.0,1792.142857142857,0.7255091667175293,0.7199634909629822
soccer,39,3,640,360,68446,0.2970746527777778,68446.0,22815.333333333332,0.6517703235149384,0.6965520977973938
